Passport Number,Full Name,Date of Birth,Gender,City of Birth,Country of Birth,Citizenship,Marital Status,Intake Applied For,Name of Spouse,Passport Issue Date,Phone Number,Email Address,Canadian Institution Name,Course Name,Date of Upfront Medical,Status,Biometric Date,Visa Application Date,Medical Updated,Visa Category
MMU2JNBO,Keval Dungarani,1999-10-18,Male,Uttar Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2021-06-28,6518869287,keval.dungarani@gmail.com,University of Windsor,M.Engg-Mechanical,2022-03-05,Waiting for PPR,2022-07-07,2022-07-02,2022-07-12,Study Visa
0N95CNNR,Sherin M,1998-08-09,Male,Meghalaya,INDIA,INDIAN,SINGLE,Fall 2022,,2021-04-15,3594754578,sherinm23@yahoo.com,University of Windsor,MEng Civil,2022-02-12,Waiting for PPR,2022-07-19,2022-07-05,2022-07-16,Study Visa
QO7CXIP4,Sujoy pal,1997-12-21,Male,Tamil Nadu,INDIA,INDIAN,SINGLE,Fall 2022,,2018-12-15,8695605498,sujoy.pal@gmail.com,University of Windsor,M.Eng Automotive,2021-12-11,Waiting for PPR,2022-07-22,2022-07-06,2022-07-18,Study Visa
NCM4DP0H,Parth Jawa,1999-03-28,Male,Meghalaya,INDIA,INDIAN,SINGLE,Fall 2022,,2015-08-13,8110637434,parth.jawa@gmail.com,University of Windsor,MOM-BDA,2022-03-07,Waiting for PPR,2022-07-13,2022-07-07,2022-07-20,Study Visa
QBG19XUW,TRUPAL PATEL,1994-11-12,Male,Meghalaya,INDIA,INDIAN,SINGLE,Fall 2022,,2017-07-08,5215763913,trupal.patel34@gmail.com,University of Windsor,Meng Mech. Automotive,2022-01-16,Waiting for PPR,2022-07-18,2022-07-07,2022-07-20,Study Visa
BG4ACWXT,Nayan Patel,1999-09-10,Male,Himachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2015-01-22,3421485996,nayan.patel12@gmail.com,University of Windsor,MEng-Mechanical,2022-02-17,Waiting for PPR,2022-07-27,2022-07-07,2022-07-19,Study Visa
EUR48WN2,Preet Desai,1994-04-03,Male,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2016-12-17,6496967118,preet.desai@yahoo.com,University of Windsor,MENGAutomotive,2022-01-29,Waiting for PPR,2022-07-14,2022-07-08,2022-07-20,Study Visa
JTGFF7ST,Rahul Jani,1999-10-19,Female,Odisha,INDIA,INDIAN,SINGLE,Fall 2022,,2021-03-08,3440284975,rahul.jani@outlook.com,University of Windsor,MEng Civil,2022-01-20,Waiting for PPR,2022-07-19,2022-07-11,2022-07-23,Study Visa
VPQS3CQ0,Arvind Ravikumar,1997-05-16,Female,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2021-02-14,7465794292,arvind.ravikumar@gmail.com,University of Windsor,MEng mechanical,2022-01-23,Waiting for PPR,2022-08-08,2022-07-19,2022-07-26,Study Visa
NNAQMLA8,sai kiran,1999-08-04,Female,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2015-08-27,3274281006,sai.kiran@gmail.com,University of Windsor,MAC,2022-02-20,Waiting for PPR,2022-08-01,2022-07-22,2022-05-30,Study Visa
ONBDIGTU,Shubham Talukdar,1997-07-10,Male,Arunachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2021-05-14,5788250032,shubham.talukdar@gmail.com,University of Windsor,MEng Automotive,2022-01-14,Waiting for PPR,2022-08-03,2022-07-23,2022-06-03,Study Visa
H5K7U2JG,James Christopher,2000-01-09,Male,Maharashtra,INDIA,INDIAN,SINGLE,Fall 2022,,2017-08-13,612021296,james.christopher@gmail.com,University of Windsor,MEng IE,2022-02-08,Waiting for PPR,2022-08-12,2022-07-23,2022-06-03,Study Visa
RSGU5OOF,Himani Rai,1994-07-28,Female,Rajasthan,INDIA,INDIAN,SINGLE,Fall 2022,,2016-07-16,7382438532,himani.rai@gmail.com,University of Windsor,MOM-BDA,2022-01-04,Waiting for PPR,2022-08-02,2022-07-27,2022-08-05,Study Visa
NXO6PWM4,Arun K V J,1996-02-29,Female,Sikkim,INDIA,INDIAN,SINGLE,Fall 2022,,2015-06-09,7321710249,arunkvj@gmail.com,University of Windsor,MEng Automotive,2022-03-04,Waiting for PPR,2022-08-19,2022-07-28,2022-08-10,Study Visa
PCF9HJ7V,Lokesh,1994-07-11,Female,Telangana,INDIA,INDIAN,SINGLE,Fall 2022,,2018-11-02,2734732338,lokesh45@gmail.com,University of Windsor,MEng Mech,2022-01-01,Waiting for PPR,2022-08-02,2022-07-30,2022-08-10,Study Visa
1L1MNISR,Gnana Shilpa Nuthalapati,1993-11-12,Female,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2019-11-19,3068094280,gnanashilpa.nuthalapati@gmail.com,University of Windsor,MSc-CS,2022-02-03,Waiting for PPR,2022-08-19,2022-08-08,2022-08-18,Study Visa
TBPLYSJS,Gian Carlo,1999-04-30,Female,Nagaland,INDIA,INDIAN,SINGLE,Fall 2022,,2017-05-23,9775908525,gian.carlo@yahoo.com,University of Windsor,MASC ECE,2021-12-04,Waiting for PPR,2022-08-11,2022-08-09,2022-08-20,Study Visa
SPENG7AV,,1999-11-08,Female,Arunachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2018-10-26,673760088,nayan.verma@outlook.com,University of Windsor,MEng Mech,2022-03-05,Waiting for PPR,2022-07-12,2022-07-04,2022-07-16,Study Visa
0I2VW5NV,Nayankumar Patel,2000-05-03,Female,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2020-03-14,5766263750,nayankumar.patel@gmail.com,University of Windsor,MEng Mechanical,2021-12-31,Waiting for PPR,2022-07-27,2022-07-07,2022-07-20,Study Visa
2O1AUVE2,Prem Irudayaraj Thaddeus Raja,2000-09-14,Male,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2015-01-31,1991581695,premirudayaraj.thaddeusraja@gmail.com,University of Windsor,Meng ECE,2021-12-26,Waiting for PPR,2022-09-06,2022-08-11,2022-08-22,Study Visa
O64A5Y5T,Dhaval Shirvi,1998-04-12,Male,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2019-01-12,4171435651,dhaval.shirvi@gmail.com,University of Windsor,MAC,2022-01-23,Waiting for PPR,2022-07-12,2022-06-28,2022-07-10,Study Visa
2NJ05EB6,Akhil,1998-04-22,Male,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2015-03-12,5419374609,akhil67@gmail.com,University of Windsor,MEng IE,2022-02-23,Waiting for PPR,2022-04-24,2022-04-07,2022-04-20,Study Visa
D58WRO3A,Jani Jay,1994-08-26,Female,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2015-06-07,6702144177,jani.jay@gmail.com,University of Windsor,Meng Industrial Engineering,2022-01-20,Waiting for PPR,2022-05-05,2022-04-29,2022-05-10,Study Visa
YS2O1VEV,Kush Shah,1999-11-26,Female,Telangana,INDIA,INDIAN,SINGLE,Fall 2022,,2018-03-27,1738606650,kush.shah@yahoo.com,University of Windsor,MEng Civil,2022-03-03,Waiting for PPR,2022-07-29,2022-07-07,2022-07-22,Study Visa
8YIKS73A,Carl Doyle,1993-10-30,Male,Tripura,INDIA,INDIAN,SINGLE,Fall 2022,,2021-02-03,7277716635,carl.doyle@yahoo.com,University of Windsor,MAC,2022-01-28,Waiting for PPR,2022-04-13,2022-02-03,2022-03-20,Study Visa
RSDNQPDU,Norman Vaughn,1992-12-10,Female,Meghalaya,INDIA,INDIAN,MARRIED,Fall 2022,JOE,2017-08-03,2228671972,norman.vaughn@gmail.com,University of Windsor,MOM-BDA,2021-12-09,Waiting for PPR,2022-05-25,2022-04-25,2022-05-17,Study Visa
9NIPPAWZ,Sophia Nielsen,1992-12-08,Male,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2015-04-12,9559007134,sophia.nielsen@gmail.com,University of Windsor,MEng-Mechanical,2022-01-28,Waiting for PPR,2022-06-09,2022-04-19,2022-05-02,Study Visa
RIX72EWH,Eilidh Mclean,1993-12-14,Female,Arunachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2015-01-07,4602217731,eilidh.mclean@gmail.com,University of Windsor,MoM-SCM,2021-12-18,Waiting for PPR,2022-06-16,2022-05-24,2022-06-02,Study Visa
CKI47PNJ,Ariyah Dalby,1997-04-08,Male,Sikkim,INDIA,INDIAN,SINGLE,Fall 2022,,2017-04-19,4000680893,ariyah.dalby@outlook.com,University of Windsor,MAC,2021-12-14,Waiting for PPR,2022-06-23,2022-05-07,2022-04-20,Study Visa
3QBX2YUU,Christine Conrad,1994-09-03,Female,Gujarat,INDIA,INDIAN,SINGLE,Fall 2022,,2015-10-12,2862100825,christine.conrad@gmail.com,University of Windsor,MAC,2021-12-14,Waiting for PPR,2022-05-02,2022-03-25,2022-04-15,Study Visa
3X6T5K1E,Parker Williams,2000-09-24,Female,Tripura,INDIA,INDIAN,SINGLE,Fall 2022,,2015-04-26,8333290897,parker.williams@gmail.com,University of Windsor,Meng ECE,2022-01-19,Waiting for PPR,2022-05-27,2022-04-30,2022-05-17,Study Visa
F5Z85BB3,Sannah Guerra,1998-03-18,Male,Maharashtra,INDIA,INDIAN,SINGLE,Fall 2022,,2015-03-16,3524548222,sannah.guerra@gmail.com,University of Windsor,Meng-Mechanical,2021-12-20,Waiting for PPR,2022-06-20,2022-06-02,2022-06-22,Study Visa
UJB4J2TF,Maizie Colon,1996-08-14,Female,Uttar Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2015-09-05,753856159,maizie.colon@yahoo.com,University of Windsor,Meng mechanical,2021-12-10,Waiting for PPR,2020-12-18,2022-02-03,2022-02-25,Study Visa
80BFHAIW,Lorena Cuevas,1993-12-17,Male,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2020-04-23,6667226723,lorena.cuevas@gmail.com,University of Windsor,Meng ECE,2022-02-27,Waiting for PPR,2022-06-16,2022-05-15,2022-05-28,Study Visa
F0MTH35Q,Teejay Irwin,1999-10-06,Female,Chhattisgarh,INDIA,INDIAN,SINGLE,Fall 2022,,2016-12-14,3755984214,teejay.irwin@gmail.com,University of Windsor,MEng ECE,2021-12-09,Waiting for PPR,2022-05-12,2022-04-23,2022-05-07,Study Visa
ETH82OC8,Kole Lacey,2000-05-31,Male,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2021-07-06,7806693918,kolelacey@gmail.com,University of Windsor,MoM BDA,2022-01-24,Waiting for PPR,2022-05-08,2022-05-01,2022-05-15,Study Visa
8HNLAN9T,Marianne Parkinson,1994-02-15,Female,Jammu and Kashmir,INDIA,INDIAN,SINGLE,Fall 2022,,2018-07-31,6212324102,marianne.parkinson@gmail.com,University of Windsor,MoM-IAF,2022-02-07,Waiting for PPR,2022-05-12,2022-05-03,2022-05-15,Study Visa
Y3OLFLOU,Sue Mackay,1996-10-20,Male,Bihar,INDIA,INDIAN,SINGLE,Fall 2022,,2019-07-04,6797364727,sue.mackay@gmail.com,University of Windsor,MoM-BDA,2021-12-10,Waiting for PPR,2022-05-06,2022-04-21,2022-05-06,Study Visa
LG3TOITI,Annette Moses,2000-08-07,Female,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2018-11-03,2528016581,annette.moses@gmail.com,University of Windsor,MEng ECE,2021-12-28,Waiting for PPR,2022-06-17,2022-05-01,2022-05-17,Study Visa
5AIZ7VMD,Mikayla Acevedo,1993-11-28,Female,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2020-03-13,1790632221,mikayla.acevedo@gmail.com,University of Windsor,MEng Civil,2022-02-12,Waiting for PPR,2022-05-11,2022-05-05,2022-05-20,Study Visa
FFAM9OTS,Sofia White,1997-02-07,Female,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2017-03-11,7962317163,sofia.white@gmail.com,University of Windsor,ME IE,2021-12-05,Waiting for PPR,2022-05-18,2022-05-06,2022-05-22,Study Visa
T8CMQKLF,Zeenat Knights,1999-06-24,Female,Tamil Nadu,INDIA,INDIAN,SINGLE,Fall 2022,,2020-08-04,3362306710,zeenat.knights@gmail.com,University of Windsor,MEng IE,2021-12-17,Waiting for PPR,2022-07-24,2022-06-09,2022-06-22,Study Visa
Q555SC1X,Jaeden Brennan,1994-12-07,Female,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2019-05-04,9765504472,jaeden.brennan@gmail.com,University of Windsor,MEng ECE,2021-12-17,Waiting for PPR,2022-08-12,2022-04-19,2022-05-25,Study Visa
K9JGYZLF,Areebah Kim,1997-07-18,Female,Bihar,INDIA,INDIAN,SINGLE,Fall 2022,,2017-08-19,1473047817,areebah.kim@gmail.com,University of Windsor,MoM-IAF,2021-12-24,Waiting for PPR,2022-07-13,2022-05-26,2022-06-12,Study Visa
CPBFETHE,Tania Wilder,1998-05-20,Male,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2020-04-12,212127810,tania.wilder@yahoo.com,University of Windsor,MEng- IE,2021-12-05,Waiting for PPR,2022-07-04,2022-06-22,2022-07-05,Study Visa
G52MMUWE,Jazmyn Redmond,2000-06-16,Male,Tamil Nadu,INDIA,INDIAN,SINGLE,Fall 2022,,2018-07-16,5477519595,jazmyn.redmond@gmail.com,University of Windsor,MoM-SCM,2021-12-31,Waiting for PPR,2022-06-24,2022-06-15,2022-06-28,Study Visa
HRC9KNFH,Marwah Lott,1992-05-19,Male,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2016-05-30,7878645133,marwah.lott@gmail.com,University of Windsor,Meng ECE,2021-12-12,PPR Received,2022-06-30,2022-05-17,2022-05-30,Study Visa
6N3HSKKK,Cassia Flores,1996-08-30,Male,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2020-03-15,4061012773,cassia.flores@gmail.com,University of Windsor,MoM-SCM,2022-02-10,PPR Received,2022-06-30,2022-05-26,2022-06-09,Study Visa
3VV3EIHT,Joann Ball,1996-04-15,Male,Punjab,INDIA,INDIAN,SINGLE,Fall 2022,,2015-01-17,123590908,joann.ball@yahoo.com,University of Windsor,Meng IE,2022-01-13,PPR Received,2022-06-06,2022-05-27,2022-06-12,Study Visa
LEZFND0Z,Allan Joseph,1995-02-19,Female,Uttar Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2020-03-06,8699942268,allan.joseph@outlook.com,University of Windsor,MEng- ECE,2022-01-23,PPR Received,2022-06-09,2022-05-31,2022-06-12,Study Visa
6QXU1JCV,Grace Hoover,1997-06-25,Female,Manipur,INDIA,INDIAN,SINGLE,Fall 2022,,2015-06-09,8278115418,grace.hoover@gmail.com,University of Windsor,MoM-BDA,2021-12-07,PPR Received,2022-06-17,2022-06-08,2022-06-22,Study Visa
4IKPUOEI,Dale Gentry,2000-07-25,Female,Manipur,INDIA,INDIAN,SINGLE,Fall 2022,,2019-11-02,7082623099,dale.gentry@gmail.com,University of Windsor,M Eng - IE,2022-01-11,PPR Received,2022-06-26,2022-06-12,2022-06-28,Study Visa
VLFQ7K95,Kaiya Chapman,1992-08-31,Female,Karnataka,INDIA,INDIAN,SINGLE,Fall 2022,,2017-04-04,9754835102,kaiya.chapman@gmail.com,University of Windsor,MEng Mechanical (Automotive Option),2021-12-23,PPR Received,2022-06-17,2022-05-25,2022-06-09,Study Visa
XZHOZ9BV,Emily Hardin,1994-07-24,Female,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2021-02-01,2130715385,emily.hardin@gmail.com,University of Windsor,M.Eng ECE,2022-02-01,PPR Received,2022-07-12,2022-06-02,2022-06-18,Study Visa
XC493V00,Cameron Stone,1997-03-25,Female,Jammu and Kashmir,INDIA,INDIAN,SINGLE,Fall 2022,,2018-01-02,9011123154,cameron.stone@gmail.com,University of Windsor,MoM-BDA,2022-01-03,PPR Received,2022-06-30,2022-06-03,2022-06-18,Study Visa
ZMZ78D6Y,Kobie Turner,1995-04-08,Female,Bihar,INDIA,INDIAN,SINGLE,Fall 2022,,2021-01-12,1445759388,kobie.turner@yahoo.com,University of Windsor,MAC,2022-02-02,PPR Received,2022-06-09,2022-06-04,2022-06-24,Study Visa
TTWFIM10,Raheel Potter,1998-01-21,Female,Bihar,INDIA,INDIAN,SINGLE,Fall 2022,,2020-04-18,3570616393,raheel.potter@gmail.com,University of Windsor,MAC,2022-03-10,Waiting for PPR,2022-06-07,2022-05-27,2022-06-12,Study Visa
V1K17P4L,Diego Marsden,1993-07-17,Female,Himachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2020-03-17,4225350962,diego.marsden@gmail.com,University of Windsor,MEng-IE,2022-02-25,Waiting for PPR,2022-07-01,2022-06-15,2022-06-28,Study Visa
VB8UDH2I,Ibrar Meyers,1997-09-16,Male,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2019-11-11,8270866964,ibrar.meyers@gmail.com,University of Windsor,MAC,2021-12-02,Waiting for PPR,2022-06-29,2022-06-16,2022-07-01,Study Visa
I61TAABK,Jemimah Weber,1994-04-05,Male,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2018-09-03,4703756123,jemimah.weber@gmail.com,University of Windsor,MEng Mech (A),2021-12-14,Waiting for PPR,2022-06-30,2022-06-04,2022-06-18,Study Visa
DJ8L1Y8A,Bibi Redman,1999-09-14,Male,Uttarakhand,INDIA,INDIAN,SINGLE,Fall 2022,,2021-07-10,9317773029,bibi.redman@yahoo.com,University of Windsor,MoM-SCM,2022-02-28,Waiting for PPR,2022-06-27,2022-05-13,2022-05-28,Study Visa
BA2C70Z6,Finlay Sadler,1999-01-30,Male,Gujarat,INDIA,INDIAN,SINGLE,Fall 2022,,2019-04-17,8958848687,finlay.sadler@gmail.com,University of Windsor,MEng Civil,2022-02-27,Waiting for PPR,2022-07-22,2022-06-03,2022-06-18,Study Visa
OUEWFQV0,Roxie Winter,1994-11-05,Male,Haryana,INDIA,INDIAN,SINGLE,Fall 2022,,2021-01-13,8221211973,roxie.winter@gmail.com,University of Windsor,MAC,2021-12-03,PPR Received,2022-06-30,2022-06-09,2022-06-22,Study Visa
8FMBKPI5,Neil Hawes,1995-03-04,Male,Telangana,INDIA,INDIAN,SINGLE,Fall 2022,,2021-02-17,7498605903,neil.hawes@gmail.com,University of Windsor,MoM- BDA,2022-02-28,Waiting for PPR,2022-07-02,2022-06-13,2022-06-28,Study Visa
E5F7MGC1,Amy-Leigh Guest,1999-02-24,Male,Telangana,INDIA,INDIAN,SINGLE,Fall 2022,,2015-04-09,2887244769,amyleigh.guest@gmail.com,University of Windsor,MEng Civil,2022-01-27,Waiting for PPR,2022-06-17,2022-06-10,2022-06-24,Study Visa
C8LBTT54,Azeem Shields,1999-04-11,Male,Uttar Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2019-05-25,192523853,azeem.shields@gmail.com,University of Windsor,MoM-SCM,2022-02-20,Waiting for PPR,2022-06-16,2022-06-05,2022-06-17,Study Visa
5XWHW9R6,Emilia Feeney,1993-04-06,Male,Rajasthan,INDIA,INDIAN,SINGLE,Fall 2022,,2018-04-06,9225681693,emilia.feeney@gmail.com,University of Windsor,MEng- Industrial,2021-12-28,Waiting for PPR,2022-08-01,2022-06-16,2022-06-27,Study Visa
73IZOXDI,Kaidan Chen,1993-09-07,Male,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2019-09-13,1098866478,kaidan.chen@gmail.com,University of Windsor,MAC,2022-01-25,Waiting for PPR,2022-06-24,2022-05-26,2022-06-07,Study Visa
D4H4YL91,Abdulahi Reyes,1999-02-02,Male,Gujarat,INDIA,INDIAN,SINGLE,Fall 2022,,2017-09-14,4252043888,abdulahi.reyes@gmail.com,University of Windsor,Meng- ECE,2021-12-28,Waiting for PPR,2022-06-23,2022-06-15,2022-06-28,Study Visa
PKX94E5M,Ava Duffy,1999-08-06,Female,Jammu and Kashmir,INDIA,INDIAN,SINGLE,Fall 2022,,2016-02-26,4953416969,ava.duffy@gmail.com,University of Windsor,ME Industrial engineering,2022-01-15,Waiting for PPR,2022-06-29,2022-06-07,2022-06-19,Study Visa
VOL3ADCY,Rehan Rivers,1996-08-12,Female,Jammu and Kashmir,INDIA,INDIAN,SINGLE,Fall 2022,,2015-06-01,7717138341,rehan.rivers@gmail.com,University of Windsor,MAC,2022-01-05,Waiting for PPR,2022-07-12,2022-06-10,2022-06-22,Study Visa
I9RJGYKF,Chenai Ratliff,2000-02-15,Female,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2016-05-21,5818756027,chenai.ratliff@outlook.com,University of Windsor,MOM-SCM,2022-02-09,Waiting for PPR,2022-07-27,2022-06-03,2022-06-22,Study Visa
67H9OFDC,Aizah Currie,1998-01-16,Female,Andhra Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2018-07-24,2306204676,aizah.currie@gmail.com,University of Windsor,MOM-BDA,2021-12-01,PPR Received,2022-06-24,2022-05-13,2022-05-28,Study Visa
TOBH2QZI,Abu Lowery,1993-09-09,Female,Kerala,INDIA,INDIAN,SINGLE,Fall 2022,,2016-11-08,318431922,abu.lowery@gmail.com,University of Windsor,MEng. ECE,2021-12-01,Waiting for PPR,2022-07-09,2022-06-22,2022-07-07,Study Visa
TQR9AY2X,Lilith North,1994-12-08,Male,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2019-10-17,7542699744,lilith.north@gmail.com,University of Windsor,MAC,2022-03-10,Waiting for PPR,2022-06-02,2022-05-15,2022-05-28,Study Visa
UGLWXOB4,Caitlan Mcnally,2000-09-13,Male,Jharkhand,INDIA,INDIAN,SINGLE,Fall 2022,,2016-10-05,4428611910,caitlan.mcnally@gmail.com,University of Windsor,Meng- ECE,2022-02-05,Waiting for PPR,2022-07-27,2022-05-12,2022-05-26,Study Visa
CJITLNVB,Sonnie Solomon,1998-10-14,Male,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2020-12-12,4487731486,sonnie.solomon@outlook.com,University of Windsor,MEng Civil,2022-02-21,Waiting for PPR,2022-05-23,2022-04-25,2022-05-06,Study Visa
BEHKIMLE,Esha Ahmad,1995-11-13,Male,Maharashtra,INDIA,INDIAN,SINGLE,Fall 2022,,2015-12-04,3349242678,esha.ahmad@gmail.com,University of Windsor,MoM-BDA,2022-02-22,Waiting for PPR,2022-06-24,2022-05-02,2022-05-16,Study Visa
ZAL0S2BG,Safaa Savage,1994-01-08,Male,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2015-06-24,6625992876,safaa.savage@gmail.com,University of Windsor,MAC,2022-01-27,Waiting for PPR,2022-07-11,2022-06-17,2022-06-28,Study Visa
01QG8WXW,Robert Fulton,1994-08-23,Male,Mizoram,INDIA,INDIAN,SINGLE,Fall 2022,,2021-07-04,8884198879,robert.fulton@gmail.com,University of Windsor,MEng IE,2022-02-27,Waiting for PPR,2022-07-07,2022-06-27,2022-07-12,Study Visa
BIG0J1XD,Florrie Cotton,1996-05-24,Female,Himachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2016-03-27,2308077759,florrie.cotton@gmail.com,University of Windsor,MASc(thesis) civil,2022-01-14,Waiting for PPR,2022-07-14,2022-07-01,2022-07-12,Study Visa
B540NBGJ,Alec Stanton,1999-02-05,Female,Jharkhand,INDIA,INDIAN,SINGLE,Fall 2022,,2018-05-11,3222855969,alec.stanton@gmail.com,University of Windsor,MEng Civil,2022-01-02,Waiting for PPR,2022-07-04,2022-06-12,2022-06-26,Study Visa
PL5ERYUV,Mali Wilkes,1998-12-17,Female,West Bengal,INDIA,INDIAN,SINGLE,Fall 2022,,2018-12-31,2893602778,mali.wilkes@gmail.com,University of Windsor,MEng Civil,2021-12-15,Waiting for PPR,2022-07-12,2022-06-06,2022-06-17,Study Visa
SW0DBF0Z,Maariya Begum,1998-08-10,Female,Tamil Nadu,INDIA,INDIAN,SINGLE,Fall 2022,,2020-08-11,7231980260,maariya.begum@gmail.com,University of Windsor,Mom-SCM,2022-03-09,Waiting for PPR,2022-06-16,2022-06-03,2022-06-16,Study Visa
4G0EOMBE,Abid Curry,1993-03-26,Female,Nagaland,INDIA,INDIAN,SINGLE,Fall 2022,,2018-02-15,3661376884,abid.curry@yahoo.com,University of Windsor,MAC,2022-02-09,Waiting for PPR,2022-06-16,2022-05-06,2022-05-17,Study Visa
FINLJM2H,Sabiha Reader,1998-12-06,Female,Telangana,INDIA,INDIAN,SINGLE,Fall 2022,,2017-06-16,8168818972,sabiha.reader@yahoo.com,University of Windsor,M.Engg Mechanical,2021-12-15,Waiting for PPR,2022-06-12,2022-06-08,2022-06-22,Study Visa
QQTEDCZF,Blane Glenn,1995-11-02,Male,Nagaland,INDIA,INDIAN,SINGLE,Fall 2022,,2017-06-30,1601768028,blane.glenn@gmail.com,University of Windsor,MENG ECE,2022-03-05,Waiting for PPR,2022-07-20,2022-06-10,2022-06-22,Study Visa
7DSUQ7X1,Helena Metcalfe,1999-09-29,Male,Uttarakhand,INDIA,INDIAN,SINGLE,Fall 2022,,2019-01-31,2924767311,helena.metcalfe@gmail.com,University of Windsor,MAC,2022-01-24,Waiting for PPR,2022-06-14,2022-05-24,2022-06-05,Study Visa
F5YZ9329,Phillip Mcdermott,1994-11-03,Male,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2015-09-07,6945407791,phillip.mcdermott@gmail.com,University of Windsor,Mom-BDA,2022-01-18,Waiting for PPR,2022-06-15,2022-05-18,2022-06-29,Study Visa
H6MWNTML,Rishi Miranda,2000-04-04,Male,Andhra Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2016-11-11,1835037188,rishi.miranda@gmail.com,University of Windsor,MEng ECE,2022-02-22,Waiting for PPR,2022-06-20,2022-06-02,2022-06-13,Study Visa
IN3TIN0L,Renesmee Southern,1995-11-24,Male,Assam,INDIA,INDIAN,SINGLE,Fall 2022,,2018-07-28,7798978069,renesmee.southern@yahoo.com,University of Windsor,Meng Ece,2022-03-08,PPR Received,2022-06-20,2022-06-07,2022-06-20,Study Visa
2FD71ZEX,Yannis Ward,1998-02-24,Female,Tripura,INDIA,INDIAN,SINGLE,Fall 2022,,2019-05-08,2754352525,yannis.ward@gmail.com,University of Windsor,M.Eng Automotive,2021-12-09,Waiting for PPR,2022-07-05,2022-05-24,2022-06-05,Study Visa
HQKT9ZBW,Samiha Mackie,1998-07-27,Female,Arunachal Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2015-12-11,1473923917,samiha.mackie@gmail.com,University of Windsor,Meng civil,2022-02-14,Waiting for PPR,2022-06-28,2022-06-08,2022-06-16,Study Visa
QGG3J47Z,Seth Mccray,1993-02-15,Female,Chhattisgarh,INDIA,INDIAN,SINGLE,Fall 2022,,2020-10-27,3614945015,seth.mccray@gmail.com,University of Windsor,MOM- SCM,2022-02-13,PPR Received,2022-06-13,2022-06-02,2022-06-17,Study Visa
HE57K4DM,Adaline Aguirre,1993-08-06,Female,Tripura,INDIA,INDIAN,SINGLE,Fall 2022,,2020-07-19,24980382,adaline.aguirre@gmail.com,University of Windsor,MoM-BDA,2022-03-04,Waiting for PPR,2022-06-24,2022-06-06,2022-06-22,Study Visa
43B7WNT4,Hubert O'Reilly,1998-01-22,Female,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2021-04-12,940157433,hubertoreilly@yahoo.com,University of Windsor,MEng ECE,2022-01-13,Waiting for PPR,2022-06-30,2022-05-18,2022-05-30,Study Visa
RTMLNMOK,Iolo Maddox,1995-02-11,Male,Madhya Pradesh,INDIA,INDIAN,SINGLE,Fall 2022,,2016-08-07,1032246713,Iolo.maddox@gmail.com,University of Windsor,Meng-ECE,2021-12-25,Waiting for PPR,2022-07-19,2022-06-01,2022-06-15,Study Visa
